,habitat,common,scientific
388,marine,"Neon pseudochromis, Arabian dottyback or neon dottyback",Pseudochromis aldabraensis
389,marine,Oblique-lined dottyback,Cypho purpurascens
390,marine,Orangetail dottyback,Pseudochromis coccinicauda
391,marine,Purple stripe pseudochromis or diadema basslet,Pseudochromis diadema
392,marine,Red dottyback,Labracinus cyclophthalmus
393,marine,Sailfin pseudochromis,Pseudochromis veliferus
394,marine,Splendid pseudochromis,Pseudochromis splendens
395,marine,Springeri pseudochromis,Pseudochromis springeri
396,marine,Striped dottyback,Pseudochromis sankeyi
397,marine,Strawberry pseudochromis or purple pseudochromis,Pseudochromis porphyreus
398,marine,Twolined dottyback,Pseudochromis bitaeniatus
399,marine,Carpet eel-blenny,Congrogadus subducens
400,marine,Bicolor Foxface,Siganus uspi
401,marine,Blue-Lined Rabbitfish,Siganus doliatus
402,marine,Foxface,Siganus vulpinus
403,marine,Magnificent foxface,Siganus magnificus
404,marine,One Spot Foxface,Siganus unimaculatus
405,marine,Yellow Blotch Rabbitfish,Siganus guttatus
406,marine,Round stingray,Urobatis halleri
407,marine,Cortez round stingray,Urobatis maculatus
408,marine,Bullseye round stingray,Urobatis concentricus
409,marine,Leopard round stingray,Urobatis pardalis
410,marine,Yellow stingray,Urobatis jamaicensis
411,marine,Chilean round ray,Urotrygon chilensis
412,marine,Bluespotted ribbontail ray,Taeniura lymma
413,marine,Bluespotted stingray,Neotrygon kuhlii
414,marine,Southern stingray,Hypanus americanus
415,marine,Atlantic stingray,Hypanus sabinus
416,marine,Bluntnose Stingray,Hypanus say
417,marine,Reticulated whiptail ray,Himantura uarnak
418,marine,Red stingray,Hemitrygon akajei
419,marine,Cowtail stingray,Pastinachus sephen
420,marine,Common stingaree,Trygonoptera testacea
421,marine,Striped stingaree,Trygonoptera ovalis
422,marine,Spotted stingaree,Urolophus gigas
423,marine,Shovelnose guitarfish,Pseudobatos productus
424,marine,Atlantic guitarfish,Pseudobatos lentiginosus
425,marine,Speckled guitarfish,Pseudobatos glaucostigmus
426,marine,Eastern shovelnose ray,Aptychotrema rostrata
427,marine,Giant shovelnose ray,Glaucostegus typus
428,marine,Bowmouth guitarfish,Rhina ancylostoma
429,marine,Eastern fiddler ray,Trygonorrhina fasciata
430,marine,Thornback ray,Platyrhinoidis triseriata
431,marine,Shortnose guitarfish,Zapteryx brevirostris
432,marine,Banded guitarfish,Zapteryx exasperata
433,marine,Southern banded guitarfish,Zapteryx xyster
434,marine,Leopard torpedo ray,Torpedo panthera
435,marine,Marbled electric ray,Torpedo marmorata
436,marine,Marbled electric ray,Torpedo sinuspersici
437,marine,Bullseye electric ray,Diplobatis ommata
438,marine,Lesser electric ray,Narcine bancroftii
439,marine,Brown numbfish,Narcine brunnea
440,marine,Unknown electric ray,Narcine barinnus
441,marine,Elat electric ray,Heteronarce bentuviai
442,marine,Spiny butterfly ray,Gymnura altavela
443,marine,Smooth butterfly ray,Gymnura micrura
444,marine,California butterfly ray,Gymnura marmorata
445,marine,Bat ray,Myliobatis californica
446,marine,Bullnose eagle ray,Myliobatis freminvillei
447,marine,Southern eagle ray,Myliobatis goodei
448,marine,Spotted eagle ray,Aetobatus narinari
449,marine,Cownose ray,Rhinoptera bonasus
450,marine,Ambon scorpionfish,Pteroidichthys amboinensis
451,marine,Decoy scorpionfish,Iracundus signifer
452,marine,Eschmeyer's scorpionfish,Rhinopias eschmeyeri
453,marine,Flasher scorpionfish,Scorpaenopsis macrochir
454,marine,Lacey scorpionfish,Rhinopias aphanes
455,marine,Leaf scorpionfish,Taenianotus triacanthus
456,marine,Mozambique scorpionfish,Parascorpaena mossambica
457,marine,Papuan scorpionfish,Scorpaenopsis papuensis
458,marine,Poss's scorpionfish,Scorpaenopsis possi
459,marine,Rogue scorpion,Amblyapistus taenianotus
460,marine,Sea goblin,Inimicus didactylus
461,marine,Stone fish,Synanceja verrucosa
462,marine,Weedy scorpionfish,Rhinopias frondosa
463,marine,Yellowspotted scorpionfish,Sebastapistes cyanostigma
464,marine,Brazilian seahorse,Hippocampus reidi
465,marine,Spotted seahorse,Hippocampus kuda
466,marine,Great seahorse,Hippocampus kelloggi
467,marine,Pot-bellied seahorse,Hippocampus abdominalis
468,marine,Pygmy seahorse,Hippocampus bargibanti
469,marine,Short-snouted seahorse,Hippocampus breviceps
470,marine,Tiger tail seahorse,Hippocampus comes
471,marine,Lined Seahorse,Hippocampus erectus
472,marine,White's Seahorse,Hippocampus whitei
473,marine,Dwarf Seahorse,Hippocampus zosterae
474,marine,Thorny Seahorse,Hippocampus histrix
475,marine,Big eye soldierfish,Myripristis vittata
476,marine,Blackbar soldierfish,Myripristis jacobus
477,marine,Glass eye squirrelfish,Heteropriacanthus cruentatus
478,marine,Popeye catalufa soldierfish,Pristigenys serrula
479,marine,Scarlet squirrelfish,Sargocentron tiere
480,marine,Striped squirrelfish,Sargocentron xantherythrum
481,marine,Whitespotted bamboo shark,Chiloscyllium plagiosum
482,marine,Brownbanded bamboo shark,Chiloscyllium punctatum
483,marine,Epaulette shark,Hemiscyllium ocellatum
484,marine,Horn shark,Heterodontus francisci
485,marine,Port Jackson shark,Heterodontus portusjacksoni
486,marine,Coral catshark,Atelomycterus marmoratus
487,marine,Marbled catshark,Atelomycterus macleayi
488,marine,Nurse shark,Ginglymostoma cirratum
489,marine,Zebra shark,Stegostoma fasciatum
490,marine,Leopard shark,Triakis semifasciata
491,marine,Banded houndshark,Triakis scyllium
492,marine,Gray smooth-hound,Mustelus californicus
493,marine,Brown smooth-hound,Mustelus henlei
494,marine,Tasselled wobbegong,Eucrossorhinus dasypogon
495,marine,Japanese wobbegong,Orectolobus japonicus
496,marine,Ornate wobbegong,Orectolobus ornatus
497,marine,Spotted wobbegong,Orectolobus maculatus
498,marine,Northern wobbegong,Orectolobus wardi
499,marine,Blacktip reef shark,Carcharhinus melanopterus
500,marine,Whitetip reef shark,Triaenodon obesus
501,marine,Bonnethead shark,Sphyrna tiburo
502,marine,Shark egg case,Selachimorpha sp. Egg case (Chondrichthyes)
503,marine,"Black snapper, black and white snapper",Macolor niger
504,marine,Emperor snapper,Lutjanus sebae
505,marine,Threadfin snapper,Symphorichthys spilurus
506,marine,Yellowback fusilier,Caesio xanthonota
507,marine,"Yellow-Banded Snapper, Hussar Emperor Snapper",Lutjanus adetii
508,marine,Achilles tang,Acanthurus achilles
509,marine,Atlantic blue tang,Acanthurus coeruleus
510,marine,Blue eyed tang,Ctenochaetus binotatus
511,marine,Blue lined surgeonfish,Acanthurus nigroris
512,marine,Bristletooth tang,Ctenochaetus striatus
513,marine,Chevron tang,Ctenochaetus hawaiiensis
514,marine,Clown tang,Acanthurus lineatus
515,marine,Convict tang,Acanthurus triostegus
516,marine,Desjardini tang,Zebrasoma desjardinii
517,marine,Doctorfish,Acanthurus chirurgus
518,marine,Dussumieri tang,Acanthurus dussumieri
519,marine,Eibli mimic tang,Acanthurus tristis
520,marine,Gold rim tang,Acanthurus nigricans
521,marine,Regal / Hippo tang,Paracanthurus hepatus
522,marine,Kole tang,Ctenochaetus strigosus
523,marine,Lavender tang,Acanthurus nigrofuscus
524,marine,Lopezi tang,Naso lopezi
525,marine,"Mimic tang, Chocolate tang",Acanthurus pyroferus
